,Pokemon,Behavior
0,Bulbasaur,A Bulbasaur often rests in bright places so its bulb can absorb sunlight
1,Bulbasaur, It can be seen napping in bright sunlight
2,Bulbasaur," While it sleeps, the seed on its back catches the rays and uses the energy to grow"
3,Bulbasaur,"In the wild, Bulbasaur tend to be very rare, as they are shy creatures that prefer the company of their own kind"
4,Bulbasaur," However, they are also generally very docile, tame, and loyal to people that they trust, and for that reason are one of the species of Pokémon available for starting trainers to choose in the region of Kanto"
0,Ivysaur,"Ivysaur are able to naturally learn the powerful Grass-type attack Solar Beam, a move whose execution time depends largely upon the weather; it takes an excruciatingly long amount of time to perform this attack in hail, rain, or a sandstorm, but nearly no time at all in bright sunlight"
1,Ivysaur," Luckily, the latter is ​most common in the habitats of these Pokémon, as it is vital that the bulbs on their backs receive ample sunlight so that they can photosynthesize and develop"
2,Ivysaur," As the bulbs grow larger and these Ivysaur become more powerful, they must spend increasing amounts of time in the sun in order to foster their growth"
3,Ivysaur," When Ivysaur are preparing to evolve into Venusaur, they will spend more time sunbathing and their bulbs will begin emanating a sweet, pleasant aroma"
0,Venusaur,Venusaur are powerful but relatively nonviolent Pokémon
1,Venusaur," Despite their menacing appearances, Venusaur are docile Pokémon, preferring to sunbathe so that the plants on their backs can photosynthesize rather than fight"
2,Venusaur, They follow sunny patches that reach the forest floor as the sun moves across the sky
3,Venusaur," With enough solar energy, the flowers on their backs can release a fragrance that calms both hostile Pokémon and people alike"
4,Venusaur, The scent also attracts a number of Bug-type Pokémon to the flowers as well to aid in their pollination during the breeding season
5,Venusaur," This ability allows Venusaur to serve as peacekeepers of sorts in their native forests, not only stopping fights that break out in their territories, but also defending their domains from dangers with their might if necessary"
6,Venusaur," Female Venusaur have seeds in their flowers, which they plant into the backs of their offspring to grow into new plants"
7,Venusaur, Their gentle dispositions but great power are what make them one of the most well-rounded Pokémon any Kantonian trainer could start their Pokémon journeys with
8,Venusaur,Venusaur evolves from Ivysaur at level 32
9,Venusaur, It can mega evolve into Mega Venusaur using the Venusaurite
0,Charmander,Charmander is easily the most mild-mannered and well-behaved of its evolution line
1,Charmander, Its feelings and emotions can be read by the flame on the tip of its tail
2,Charmander, It flares up in a fury when Charmander is angry
3,Charmander, The flame will flicker and grow small and dim If Charmander is sick or hurt
4,Charmander, If it growls that means it's angry or is about to attack
5,Charmander,Charmander however doesn't do well with impatient people
6,Charmander," It doesn't appreciate being rushed, and most of the time, will not allow it"
7,Charmander," It is a sweet Pokémon, but is feisty nonetheless"
8,Charmander," Charmander doesn't enjoy accepting favors, because it feels it owes something in return"
9,Charmander," It is extremely loyal to its loved ones, and knows a good thing when it sees it"
10,Charmander, It will treat those in its life accordingly
11,Charmander,Charmander is rarely found in the wild since it's a First partner Pokémon
12,Charmander, Sometimes they gather in extremely hot areas such as active volcanoes or in craggy mountains and in caves along the coast of the Sevii Islands
0,Charmeleon,"Charmeleon, like its other evolutionary forms, can naturally breathe fire"
1,Charmeleon," Its powers, though, are much greater than Charmander's, but not as great as Charizard's"
2,Charmeleon,Charmeleon is also much more aggressive than Charmander
3,Charmeleon, It is believed to have a vicious nature and will constantly seek out opponents
4,Charmeleon," Strong opponents excite this Pokémon, causing it to spout bluish-white flames that torch its surroundings"
5,Charmeleon," It is a very ruthless, pitiless and zealous fighter often using its claws"
6,Charmeleon," However, it will relax once it has won"
7,Charmeleon,"In their fervor, their tails often begin to burn a bluish-white; at night, they can light up mountainsides like stars if groups of them are present"
8,Charmeleon," Enraged Charmeleon often take out their anger on their surroundings, incinerating anything flammable around them with unrestrained Flamethrowers"
9,Charmeleon,This stage is often likened to a human’s teenage years--moody and reckless
10,Charmeleon," For starting trainers, reining in disobedient Charmeleon can be extremely challenging, as well as potentially dangerous if not handled well"
11,Charmeleon," However, with proper care and treatment, a trainer can earn a Charmeleon’s respect, and eventually its obedience as well"
