,Pokemon,variable,value
0,Parasect,Caption,a cartoon crab wearing a pink hat with yellow spots
1,Sobble,Caption,a blue and yellow pokemon character with a big smile
2,Lumineon,Caption,a blue and white fish with a black background
3,Raikou,Caption,a drawing of a yellow and black cat
4,Runerigus,Caption,a paper cut out of a lizard with its mouth open
5,Dedenne,Caption,a yellow and black pokemon pikachu character
6,Pyroar,Caption,a drawing of a cat with red eyes and a yellow tail
7,Pawmi,Caption,a very cute looking animal with big eyes
8,Articuno,Caption,a blue and white bird with large wings
9,Maushold Family of Four,Caption,a group of cartoon mouses standing next to each other
10,Magmortar,Caption,a cartoon character in a yellow and red outfit
11,Bulbasaur,Caption,a green and black pokemon with red eyes
12,Banette,Caption,a cartoon cat with a big smile on its face
13,Staraptor,Caption,a very cute looking bird with a big beak
14,Pidove,Caption,a white bird with a black beak and yellow eyes
15,Morgrem,Caption,a cartoon character with a demon like body
16,Comfey,Caption,a wreath of flowers with a bird sitting on top of it
17,Taillow,Caption,"a bird with a red, white, and blue beak"
18,Charizard,Caption,an orange and blue dragon with a flame coming out of its mouth
19,Infernape,Caption,a very cute looking pokemon character
20,Marshadow,Caption,a drawing of a cartoon character with red eyes
21,Thundurus Incarnate Forme,Caption,a very cute looking cartoon character with big eyes
22,Alakazam,Caption,a cartoon of a yellow fox holding spoons
23,Lickitung,Caption,a pink cartoon character with its mouth open
24,Zigzagoon,Caption,a cartoon porcupine running with its mouth open
25,Starmie,Caption,a star with a diamond on top of it
26,Deoxys Normal Forme,Caption,a stylized image of a woman in red and blue
27,Purugly,Caption,a gray and white cat with yellow eyes
28,Tandemaus,Caption,a couple of white mouses standing next to each other
29,Yanmega,Caption,a green and pink insect flying through the air
30,Yveltal,Caption,a red and black bird with large wings
31,Petilil,Caption,a cartoon character with a green leaf on its head
32,Torterra,Caption,a green and white pokemon character with a tree on top of it
33,Cresselia,Caption,a cartoon bird with a pink tail and a blue body
34,Regigigas,Caption,a cartoon character with a banana in his hand
35,Sandshrew,Caption,a yellow and white cat with blue eyes
36,Palkia,Caption,a drawing of a cartoon character flying through the air
37,Impidimp,Caption,a pink cartoon character with horns and eyes
38,Froakie,Caption,a blue frog with big eyes and a big smile
39,Kilowattrel,Caption,a bird flying through the air with its wings spread
40,Arrokuda,Caption,a brown and white fish on a black background
41,Munna,Caption,a pink and purple pokemon ball with a flower on it
42,Bellossom,Caption,a cartoon character with a flower in her hair
43,Gabite,Caption,a cartoon of a blue and orange dragon
44,Mareep,Caption,a white sheep with a blue face and yellow horns
45,Shieldon,Caption,a cartoon animal with a helmet on its head
46,Sneasler,Caption,a picture of a cat that is very cute
47,Stoutland,Caption,a very cute looking cat with big eyes
48,Corviknight,Caption,a blue bird with a black background
49,Accelgor,Caption,a cartoon character with a green and red helmet
50,Makuhita,Caption,a yellow pokemon pikachu with a black collar
51,Seviper,Caption,a very cute cartoon character with a big smile
52,Archeops,Caption,a very cute looking pokemon with big eyes
53,Tirtouga,Caption,a very cute looking cartoon fish with a big smile
54,Lampent,Caption,a cartoon character with a hat on his head
55,Nosepass,Caption,a blue and red animal with a black face
56,Chi-Yu,Caption,a cartoon fish with headphones floating in the water
57,Minior Meteor Form,Caption,a drawing of a ball with spikes on it
58,Ceruledge,Caption,a stylized image of a person with a sword
59,Nidoking,Caption,a purple and white cartoon character with big teeth
60,Huntail,Caption,a blue and orange cartoon fish with its mouth open
61,Carracosta,Caption,a cartoon character with a blue body and black eyes
62,Nidoqueen,Caption,a drawing of a blue and gray dragon
63,Inkay,Caption,a drawing of a blue bird wearing a pink hat
64,Avalugg,Caption,a drawing of a piece of paper on a white background
65,Grubbin,Caption,a close up of a cartoon character with big eyes
66,Sentret,Caption,a very cute looking animal on a black background
67,Golbat,Caption,a purple and black dragon with its mouth open
68,Skorupi,Caption,a blue and purple cartoon character with horns
69,Indeedee Male,Caption,a cartoon character in a purple outfit
70,Conkeldurr,Caption,a cartoon character holding onto a rock
71,Jellicent,Caption,a pink and white bird with wings
72,Yungoos,Caption,a cartoon animal with a big mouth and sharp teeth
73,Meltan,Caption,a black and white picture of a yellow object
74,Arctovish,Caption,a blue and white fish floating in the water
75,Zacian Hero of Many Battles,Caption,a blue and white dog with a red tail
76,Barraskewda,Caption,a drawing of a fish with sharp teeth
77,Luxio,Caption,a cartoon of a black and yellow cat
78,Duraludon,Caption,a white robot with a blue background
79,Poliwrath,Caption,a black and white cartoon character with arms and legs
80,Binacle,Caption,a drawing of a cartoon character with two hands in the air
81,Galvantula,Caption,a yellow and blue pokemon pikachu laying down
82,Hippopotas,Caption,a yellow and brown animal with big eyes
83,Magnemite,Caption,a mechanical device with a screwdriver attached to it
84,Swirlix,Caption,a white cloud with pink eyes and a pink nose
85,Finneon,Caption,a pink and blue pokemon character with big eyes
86,Kleavor,Caption,a very cute looking pokemon with big wings
87,Medicham,Caption,a pink and yellow cartoon character holding a pair of scissors
88,Yamper,Caption,a cartoon of a yellow and white rabbit with its tongue out
89,Crawdaunt,Caption,a cartoon character with a star on his head
90,Mienfoo,Caption,a cartoon character with a boxing glove
91,Electrike,Caption,a green and yellow dragon with its mouth open
92,Florges,Caption,a pink flower with green leaves on a black background
93,Coalossal,Caption,a cartoon character with a red light on his face
94,Shinx,Caption,an elephant with a star on its back
95,Eiscue Ice Face,Caption,a penguin with a cube on its head
96,Quaquaval,Caption,a cartoon character with a blue bird on his arm
97,Shellos,Caption,a blue and yellow duck with horns on it's head
98,Gothita,Caption,a purple and black cat with big eyes
99,Overqwil,Caption,a picture of a cartoon character with spikes on his head
100,Porygon,Caption,a pink and blue bird sitting on top of a black background
101,Budew,Caption,a green and yellow animal with a big smile
102,Alomomola,Caption,a pink bird with yellow eyes flying through the air
103,Dratini,Caption,a blue and white bird with a black background
104,Reshiram,Caption,a drawing of a white bird with blue eyes
105,Sawsbuck,Caption,a cartoon deer with flowers on its antlers
106,Blaziken,Caption,a drawing of a red and yellow pokemon
107,Serperior,Caption,a green and yellow lizard with an open mouth
108,Toxicroak,Caption,a cartoon character with a ball in his hand
109,Flareon,Caption,a red and yellow pokemon pikachu running
110,Gliscor,Caption,a cartoon cat with yellow eyes and yellow eyes
111,Heatran,Caption,a brown and white animal with yellow spots
112,Thievul,Caption,a red fox with a black mask on
113,Beedrill,Caption,a yellow and black bee with its mouth open
114,Butterfree,Caption,a cartoon character with big eyes and wings
115,Tadbulb,Caption,a yellow and black object with a black background
116,Fletchinder,Caption,a colorful bird sitting on top of a black background
117,Tsareena,Caption,a green and white cartoon character with big eyes
118,Ludicolo,Caption,a cartoon turtle wearing a green hat
119,Phanpy,Caption,a cartoon elephant with orange ears and a blue body
120,Gholdengo,Caption,a yellow cartoon character with a flashlight
121,Cyndaquil,Caption,a cartoon character with a hat on his head
122,Swellow,Caption,"a bird with orange, white, and green feathers"
123,Machop,Caption,a cartoon character with a big smile on his face
124,Eternatus,Caption,a stylized image of a dragon flying through the air
125,Naganadel,Caption,a purple and black cartoon character holding a sword
126,Ariados,Caption,a red and yellow spider with horns on it's head
127,Passimian,Caption,a very cute looking pokemon with a big tail
128,Frogadier,Caption,a blue cartoon character holding a white object
129,Roggenrola,Caption,a blue turtle with a yellow light on its head
130,Shroodle,Caption,a black and green cartoon character with big eyes
131,Shedinja,Caption,a pokemon pikachu flying through the air
132,Tatsugiri Curly Form,Caption,an orange and white snake sitting on top of a white object
133,NidoranΓÖé,Caption,a very cute looking purple dragon with big eyes
134,Duosion,Caption,a green and white cartoon character with a pink nose
135,Scraggy,Caption,a yellow cartoon character with a red tie
136,Gumshoos,Caption,a cartoon of a monster with sharp teeth
