,Pokemon,physiology
0,Bulbasaur,"Bulbasaur resembles a small amphibian/frog, but it bears three claws on each of its feet and has no tail"
1,Bulbasaur," It also has large, red eyes and small, sharp teeth"
2,Bulbasaur," Its skin is a light, turquoise color with dark, green spots"
3,Bulbasaur, It has three claws on all four of its legs
4,Bulbasaur," Its most notable feature, however, is the aforementioned bulb on its back, which according to its entry in the Pokédex, was planted there at birth"
5,Bulbasaur," It also seems that it uses vines that grow out of its back as weapons, they are easily extractable"
0,Ivysaur,"Ivysaur's appearance is very similar to that of its pre-evolved form, Bulbasaur"
1,Ivysaur," It still retains the turquoise skin and spots, along with its red eyes"
2,Ivysaur, Ivysaur's top fangs are now larger and are visible outside of its mouth
3,Ivysaur," Also, its ears are now darkened to black in the center"
4,Ivysaur,  Carrying the weight of the bud on its back makes Ivysaur's legs stronger
5,Ivysaur," The most notable change is that the bulb is starting to bloom, with pink petals visible, and large leaves on the bloom bottom"
0,Venusaur,"Venusaur is a large, amphibian-like Pokémon that is somewhat similar in appearance to its pre-evolved forms, Ivysaur and Bulbasaur"
1,Venusaur," Its skin still retains a light turquoise color, but it no longer has the spots, and it appears more rough and scaly, with bumps here and there"
2,Venusaur," The former bulb on its back has now fully bloomed into a gigantic flower, which contains multiple colours pink, yellow ect"
3,Venusaur, Its ears have lightened up as well
4,Venusaur," Female Venusaur are slightly different because they have a seed on their back, which shows that it can give birth to a new Bulbasaur"
0,Charmander,"Charmander is a bipedal, reptilian Pokémon with a primarily orange body and blue eyes"
1,Charmander, Its underside from the chest down and the soles of its feet are cream-colored
2,Charmander, It has two small fangs visible in its upper jaw and two smaller fangs in its lower jaw
3,Charmander, A fire burns at the tip of this Pokémon's slender tail and has blazed there since Charmander's birth
4,Charmander," The flame can be used as an indication of Charmander's health and mood, burning brightly when the Pokémon is strong, weakly when it is exhausted, wavering when it is happy, and blazing when it is enraged"
5,Charmander, It is said that Charmander dies if its flame goes out
6,Charmander," However, if the Pokémon is healthy, the flame will continue to burn even if it gets a bit wet and is said to steam in the rain"
0,Charmeleon,"Charmeleon is a small, bipedal, dinosaur-like Pokémon with an appearance similar to that of its pre-evolved form, Charmander"
1,Charmeleon," Charmeleon differs from Charmander in that it has a much darker red skin color, a larger body structure, claws, and a horn-like protrusion on the back of its head, similar to that of an ornithopod's"
2,Charmeleon, Its claws are razor sharp and its tail is very strong
0,Charizard,"Charizard is a large, dragon-like Pokémon that differs greatly from its pre-evolved form"
1,Charizard," The red skin coloration of Charmeleon is no longer apparent, as Charizard appears to have reverted to the orange/yellow coloration of Charmander"
2,Charizard, Two large fangs can be seen when its mouth is closed
3,Charizard," When its mouth is open, its lower fangs and a slender but long tongue can be seen"
4,Charizard," The single horn that was on the back of its head is now two, one on either side"
5,Charizard," The most notable difference between Charizard and its pre-evolved forms are the large wings that have developed on its back, which gives Charizard the capability of flying"
6,Charizard,"In Generation II, Shiny Charizard was purple with the inside of its wings being green"
7,Charizard," In Generation III onwards, Shiny Charizard's orange skin is black while the blue of its wings is maroon"
8,Charizard,"Charizard's Mega Evolution form using Charizardite X is different from Charizard, as it now has a black body color and blue flames from its mouth and on its tail"
9,Charizard," While using Charizardite Y, Mega Charizard has a big horn on the top of its head and larger wings"
10,Charizard,"As Gigantamax Charizard, it becomes larger and physically fit"
11,Charizard, The lower part of its body glows white with several yellow diamonds located on lower belly
12,Charizard, There are also diamonds spots located on the front legs
13,Charizard, The claws located on hand and feet become longer and sharp
14,Charizard," The feet become longer and digitigrade, retaining small glowing soles under the forefeet"
15,Charizard, The wings are transformed into literal flame wings extending to the shoulder blade and two flames located on the horns
16,Charizard," The sclera of the eyes becomes yellow, the glow of a flame can be seen in the mouth and the teeth grow, with the lower front teeth and three teeth in the middle now protruding when the mouth is closed"
17,Charizard, The flame on the tail extends out and has three red clouds surrounding it
18,Charizard, Gigantamax Charizard's flames increase whenever it roars
19,Charizard, The wings are capable of being hotter than magma which Charizard uses to burn its opponents
20,Charizard,"As Shiny Charizard Mega Evolves into Mega Charizard X, its body becomes black and its wings become blue"
21,Charizard," For Mega Charizard Y, its body stays orange, while it's wings appear tattered and ripped"
0,Squirtle,"Squirtle is a small, light-blue Pokémon with an appearance similar to a turtle"
1,Squirtle," With its aerodynamic shape and grooved surface, Squirtle's shell helps it wade through the water very quickly"
2,Squirtle, It also offers protection in battle
3,Squirtle," Like turtles, Squirtle has a shell that covers its body with holes that allow its limbs, tail, and head to be exposed"
4,Squirtle," Unlike a turtle, Squirtle is ordinarily bipedal"
0,Wartortle,"Wartortle is a small, bipedal, turtle-like Pokémon with a similar appearance to that of its pre-evolved form, Squirtle"
1,Wartortle," Some differences are that Wartortle have developed sharper and larger claws and teeth, and that their tails are larger and fluffier than those of Squirtle's"
2,Wartortle, The fur on Wartortle's tail darkens with age
3,Wartortle, Wartortle have developed large furry ears
4,Wartortle," Like its pre-evolved form, it can also use its shell to protect itself"
5,Wartortle, Its shell bears the scratches of many battles
0,Blastoise,"Blastoise are large, tortoise-like Pokémon with some features similar to those of its pre-evolved forms"
1,Blastoise," Blastoise has a large blue body, cream-colored stomach, small fat arms and legs, and a large brown shell rimmed with white, featuring its water cannons"
2,Blastoise, It is now noticeably bulkier than its previous evolutions
3,Blastoise," Like its pre-evolved forms, Blastoise has a shell which covers its entire body, which it can also be withdrawn into"
4,Blastoise," Contrary to Squirtle and Wartortle, Blastoise has large, water cannons that are located on the top left and right sides"
5,Blastoise, The water that comes out of the cannons is capable of punching holes through thick steel
0,Caterpie,Caterpie is a worm-like Pokémon that is mainly green in color with a tan underside
1,Caterpie," Just below its head are four, tiny legs that are used only for movement"
2,Caterpie," On top of its head is a red, ""y-shaped"" antenna, which can be used to produce an odor used in self-defense, in case something tries to hurt it"
0,Metapod,Metapod is an insect-like Pokémon with an appearance similar to that of a green-colored chrysalis or cocoon
1,Metapod," Although it is covered in its hard shell, Metapod's eyes are still clearly visible and usually appear dazed, drowsy, or angry for reasons unknown"
0,Butterfree,Butterfree is an insect-like Pokémon appearing as a large butterfly
1,Butterfree, Butterfree has a large purple body with light blue limbs and a nose with very small fangs
2,Butterfree, Its eyes are quite large in proportion to its head and are a red color
3,Butterfree, Butterfree's large wings simply appear as black and white butterfly wings
4,Butterfree,"In its Gigantamax form, Bufferfree's body has a larger frame with red glowing eyes"
5,Butterfree,  It sports a giant set of wings with  glowing teal patterns on them
6,Butterfree,  A fur-like pattern is attached to its wings and back
7,Butterfree,"  Its antennae changes from black to light green and, like other dynamaxed Pokémon, are surrounded by red clouds"
0,Weedle,"Weedle is a small, insect-like Pokémon appearing as a brown caterpillar with large stingers on both its rear and head"
1,Weedle," Across Weedle's underside are small, pink nubs which it uses to move"
2,Weedle," On its head, Weedle has two beady, black eyes above a large, pink nose"
0,Kakuna,Kakuna is an insect-like Pokémon with an appearance similar to that of a yellow chrysalis
1,Kakuna," As a chrysalis, the interior of Kakuna's very hard shell is unseen, with no limbs or other features being shown"
2,Kakuna," Only Kakuna's eyes, jet black in color, are visible on the shell, which are somewhat large in proportion to its body"
3,Kakuna," In Pokémon Red and Blue Versions, Kakuna had arm-like limbs, which were never seen afterwards"
0,Beedrill,Beedrill is an insect-like Pokémon with the appearance of a very large wasp
1,Beedrill," However, unlike a wasp, Beedrill only has four limbs, with the front-most limbs featuring two large, lance-like stingers"
2,Beedrill, A third stinger is located on its rear end
3,Beedrill, The shiny version of a Beedrill is a light green color with blue eyes instead of red
4,Beedrill,"A Mega evolved Beedrill's antennae now resemble the letter 'T', and its eyes become longer and sleeker"
5,Beedrill, It gains a third pair of wings with black markings on top
6,Beedrill," Its stingers now resemble javelins now, and its only 2 legs were also turned into conical stingers with the same pattern as its abdomen"
7,Beedrill, A similar structure joins its head and thorax and its third stinger has turned pale yellow
0,Pidgey,"Pidgey resembles a small, plump-bodied bird"
1,Pidgey," It is brown in color, with a cream-colored throat and belly"
2,Pidgey, The tips of its wings share the same color
3,Pidgey, Both its feet and beak are a pinkish-gray color
4,Pidgey," Its plumage is fairly nondescript, particularly compared to its evolutions, Pidgeotto and Pidgeot"
5,Pidgey, It has black markings around its eyes and a small crest of brown and cream feathers above its eyes
6,Pidgey,"It resembles other small flying-type Pokémon, such as Starly, Taillow, and Spearow"
7,Pidgey," However, due to the fact that this Pokémon tend to be unique to a region, with the exception of Spearow, it is likely that they are a result of convergent evolution"
0,Pidgeotto,Pidgeotto resembles a small hawk and is brightly colored with red and yellow feathers
1,Pidgeotto," Due to similarities between Pidgeotto and its evolved form, Pidgeot, many players often get the two confused"
2,Pidgeotto, Its beak and claws are as sharp as its eyesight
0,Pidgeot,"Pidgeot resembles a large, feathery bird with huge wings"
1,Pidgeot, It has a brightly colored crest and tail
2,Pidgeot,Many trainers are drawn to Pidgeot because of its lovely feathers
3,Pidgeot, The beautiful colors of its crest are particularly striking
4,Pidgeot,It is easily confused with Pidgeotto because the only difference without a relative size comparison is that Pigeot's tail and crest coloring switch from those of Pidgeotto's
0,Rattata,"Rattata is rat-like, with large incisors, a slight hump on its back towards the rear, a slightly pudgy belly, and a whisker on both sides"
1,Rattata, Female Rattata have shorter whiskers than the males
2,Rattata," The fur of a normal variant is purple, with a white or cream colored underside: the fur of an Alolan variant is black with dark cram underside"
3,Rattata," Rattata have red eyes, with no obvious pupils"
4,Rattata," The tail is long, and curled slightly at the tip"
5,Rattata," Rattata have three-toed paws, which are the same color as its underbelly"
6,Rattata,Rattata that live in the Alola region have black fur instead of the usual purple
7,Rattata," Their undersides are now a darker beige color and their fur is much scruffier, leaving their whiskers as tufts that resemble a moustache"
8,Rattata, The inside of their ears is also a dark blue color
0,Raticate,"Compared to Rattata, Raticate is far more of a predator, and the majority of its features are adapted for this purpose"
1,Raticate," Its most notable feature are its large teeth; like most rodents, Raticate's teeth grow continuously throughout its life, and must be constantly worn down by gnawing"
2,Raticate, It is also known that Raticate's fangs are tough enough to break through concrete
3,Raticate, It has long whiskers and a long tail
4,Raticate," Raticate looks like a pudgy rat, just like Rattata"
5,Raticate," Raticate tends to stand on its hind legs, as opposed to its pre-evolution"
6,Raticate,Raticate in Alola have grown black fur to help camouflage themselves due to their nocturnal nature
7,Raticate, They now sport a pair of squinted eyes with red irises and a face with large cream-colored cheeks that have four whiskers below them and two pairs of whiskers sprouting out
8,Raticate, A patch on their stomach as well as the inside of their ears is a brown
0,Spearow,"Spearow are an avian species of Pokémon characterized by its short stature, brown body, and pale red wings"
1,Spearow, Its underbelly is beige while possessing a dark brown plumage on its head
2,Spearow, Spearow's rear is black and its tail feathers are a shade of brown
3,Spearow," Like all birds, it is equipped with talons used for manipulating objects or self-defense"
0,Fearow,"Fearow is a large, mostly brown bird Pokémon with a vulturine neck and broad, powerful wings"
